character,traditional_character,alternate_characters,pinyin,definition,hsk_level,frequency
诂,詁,詁,gǔ,"exegesis, explanation; explain",,5077
岢,,,kě,,,5078
聒,,,guā,"clamor, din, hubbub",,5079
髁,,,kē,"thigh bone, hipbone; kneecap",,5080
黍,,,shǔ,glutinous millet; KangXi radical number 202,,5081
芾,,,fèi,flower; small; little; lush,,5082
淝,,,féi,name of an affluent of the Poyang Lake,,5083
鲎,鱟,鱟,hòu,king crab,,5084
鞣,,,róu,"tan, soften",,5085
髋,髖,髖,kuān,hipbone; hip,,5086
闳,閎,閎,hóng,"gate, barrier; wide, vast, expand",,5087
潆,瀠,瀠,yíng,tiny stream; swirl around,,5088
汨,,,mì,Mi(luo) river in Hunan province where Qu Yuan drowned himself; to sink; used (erroneously) for,,5089
胍,,,guā,,,5090
阏,閼,閼,è,"block, obstruct, stop up",,5091
钤,鈐,鈐,qián,"lock, latch; stamp, seal",,5092
鹜,鶩,鶩,wù,duck,,5093
鬈,,,quán,fine growth of hair curly hair,,5094
铵,銨,銨,ǎn,ammonium,,5095
戬,戩,戩,jiǎn,"exterminate, destroy; blessing",,5096
點,,,diǎn,"dot, speck, spot; point, degree",,5097
崮,,,gù,"a mesa, hill with flat top and steep sides",,5098
枰,,,píng,smooth board; chessboard; chess,,5099
樯,檣,檣,qiáng,"mast, yard-arm, boom",,5100
脍,膾,膾,kuài,minced meat or fish,,5101
畲,,,shē,to cultivate land by first setting fire to it,,5102
衾,,,qīn,"coverlet, quilt",,5103
蹼,,,pǔ,webbed feet of waterfowl,,5104
題,,,tí,"forehead; title, headline; theme",,5105
劬,,,qú,"be diligent, toil, endeavor",,5106
咭,,,jī,,,5107
囫,,,hú,"entire, whole",,5108
洱,,,ěr,a lake in Yunnan,,5109
刎,,,wěn,"behead, cut throat",,5110
芏,,,dù,,,5111
琊,,,yá,a place in eastern Shandong,,5112
碚,,,bèi,suburb,,5113
鳕,鱈,鱈,xuě,codfish,,5114
谪,謫,謫,zhé,"charge, blame; disgrace; demote",,5115
芎,,,qiōng,a kind of herb,,5116
恂,,,xún,"careful, sincere, honest; trust",,5117
槿,,,jǐn,hibiscus,,5118
鲢,鰱,鰱,lián,"silver carp, hypophthalmiathys",,5119
鲧,鯀,鯀,gǔn,giant fish; father of emperor,,5120
嘧,,,mì,pyrimidine,,5121
绀,紺,紺,gàn,dark blue or reddish color,,5122
郦,酈,酈,lì,,,5123
噱,,,jué,"laugh heartily, laugh aloud",,5124
浠,,,xī,,,5125
潸,,,shān,weep; tears flowing,,5126
跏,,,jiā,sit cross-legged; squat,,5127
鲶,鯰,鯰,nián,sheat,,5128
矍,,,jué,look about in fright or alarm,,5129
苌,萇,萇,cháng,averrhora carambola; surname,,5130
抻,,,chēn,pull,,5131
琰,,,yǎn,"jewel, gem; glitter of gems",,5132
鹚,鷀,鷀,cí,cormorant,,5133
龆,齠,齠,tiáo,lose baby teeth and get adult teeth,,5134
臬,,,niè,"law, rule; door post",,5135
芄,,,wán,,,5136
呔,,,dāi,"(Cant.) a necktie, a tire",,5137
雒,,,luò,black horse with white mane,,5138
觞,觴,觴,shāng,wine vessel; propose toast; feast,,5139
钒,釩,釩,fán,vanadium,,5140
饫,飫,飫,yù,"surfeited, satiated; confer",,5141
阒,闃,闃,qù,"alone; quiet, still",,5142
槎,,,chá,"raft; time, occasion; to hew",,5143
鸩,鴆,鴆,zhèn,a bird resembling the secretary falcon,,5144
舂,,,chōng,grind in mortar,,5145
谠,讜,讜,dǎng,"counsel, advice; speak out",,5146
阡,,,qiān,footpaths between fields; paths,,5147
莒,,,jǔ,hemp-like plant; taro; herb,,5148
萸,,,yú,dogwood,,5149
妗,,,jìn,,,5150
稔,,,rěn,"ripe grain; harvest; to know, be familiar with",,5151
穰,,,ráng,"stalks of grain; lush, abundant",,5152
