frequency_rank,character,pinyin,pinyin_alternates,common_word_1,common_word_1_pinyin,common_word_1_definition,common_word_2,common_word_2_pinyin,common_word_2_definition,definition,radical,radical_code,stroke_count,hsk_level,general_standard_num,traditional_character,same_simp_trad,alternate_characters
982,宫,gōng,,,,,,,,palace,宀,40.6,9,6.0,1698.0,宮,False,宮
983,喝,hē,,,,,,,,"drink; shout, call out",口,30.9,12,1.0,2639.0,,True,
984,借,jiè,,,,,,,,borrow; lend; make pretext of,人,9.8,10,3.0,1955.0,,True,
985,君,jūn,,,,,,,,"sovereign, monarch, ruler, chief, prince",口,30.4,7,6.0,899.0,,True,
986,禁,jìn,,,,,,,,"restrict, prohibit, forbid",示,113.8,13,4.0,2863.0,,True,
987,阴,yīn,,,,,,,,,阜,170.4,6,2.0,575.0,陰,False,陰
988,园,yuán,,,,,,,,"garden; park, orchard",囗,31.4,7,3.0,726.0,園,False,園
989,谋,móu,,,,,,,,"plan, scheme; strategem",言,149.9,11,6.0,2459.0,謀,False,謀
990,宋,sòng,,,,,,,,Song dynasty; surname,宀,40.4,7,,878.0,,True,
991,避,bì,,,,,,,,avoid; turn aside; escape; hide,辵,162.13,16,5.0,3385.0,,True,
992,抓,zhuā,,,,,,,,"scratch; clutch, seize, grab",手,64.4,7,5.0,633.0,,True,
993,荣,róng,,,,,,,,"glory, honor; flourish, prosper",艸,140.6,9,5.0,1415.0,榮,False,榮
994,姑,gū,,,,,,,,,女,38.5,8,5.0,1325.0,,True,
995,孙,sūn,,,,,,,,"grandchild, descendent; surname",子,39.3,6,4.0,570.0,孫,False,孫
996,逃,táo,,,,,,,,"escape, flee; abscond, dodge",辵,162.6,9,5.0,1588.0,,True,
997,牙,yá,,,,,,,,"tooth, molars, teeth; serrated",牙,92.0,4,3.0,102.0,,True,
998,束,shù,,,,,,,,"bind, control, restrain; bale",木,75.3,7,3.0,694.0,,True,
999,跳,tiào,,,,,,,,"jump, leap, vault, bounce; dance",足,157.6,13,2.0,2915.0,,True,
1000,顶,dǐng,,,,,,,,"top, summit, peak; to carry on the head",頁,181.2,8,5.0,971.0,頂,False,頂
1001,玉,yù,,,,,,,,"jade, precious stone, gem",玉,96.0,5,5.0,190.0,,True,
1002,镇,zhèn,,,,,,,,"town, market place; suppress",金,167.1,15,6.0,3256.0,鎮,False,鎮
1003,雪,xuě,,,,,,,,"snow; wipe away shame, avenge",雨,173.3,11,2.0,2249.0,,True,
1004,午,wǔ,,,,,,,,noon; 7th terrestrial branch,十,24.2,4,1.0,119.0,,True,
1005,练,liàn,,,,,,,,"to practice, drill, exercise, train",糸,120.5,8,3.0,1337.0,練,False,練
1006,迫,pò,,,,,,,,"coerce, force, compel; urgent",辵,162.5,8,5.0,1156.0,,True,
1007,爷,yé,,,,,,,,"father, grandfather",父,88.2,6,3.0,492.0,爺,False,爺
1008,篇,piān,,,,,,,,"chapter, section, essay, article",竹,118.9,15,4.0,3268.0,,True,
1009,肉,ròu,,,,,,,,flesh; meat; KangXi radical 130,肉,130.0,6,2.0,443.0,,True,
1010,嘴,zuǐ,,,,,,,,"mouth, lips",口,30.12,16,3.0,3342.0,,True,
1011,馆,guǎn,,,,,,,,public building,食,184.8,11,2.0,2373.0,館,False,館
1012,遍,biàn,,,,,,,,"everywhere, all over, throughout",辵,162.9,12,4.0,2788.0,,True,
1013,凡,fán,,,,,,,,"all, any, every; ordinary, common",几,16.1,3,6.0,50.0,,True,
1014,础,chǔ,,,,,,,,"foundation stone, plinth",石,112.5,10,4.0,1866.0,礎,False,礎
1015,洞,dòng,,,,,,,,"cave, grotto; ravine; hole",水,85.6,9,5.0,1669.0,,True,
1016,卷,juǎn,,,,,,,,scroll; curl; make a comeback,卩,26.6,8,5.0,1231.0,,True,
1017,坦,tǎn,,,,,,,,"flat, smooth; self-possessed",土,32.5,8,5.0,962.0,,True,
1018,牛,niú,,,,,,,,"cow, ox, bull; KangXi radical93",牛,93.0,4,2.0,120.0,,True,
1019,宁,níng,,,,,,,,"calm, peaceful, serene; healthy",宀,40.2,5,5.0,312.0,寧,False,寧
1020,纸,zhǐ,,,,,,,,paper,糸,120.4,7,2.0,938.0,紙,False,紙
1021,诸,zhū,,,,,,,,"various, all, these; surname",言,149.8,10,6.0,2110.0,諸,False,諸
1022,训,xùn,,,,,,,,"teach, instruct; exegesis",言,149.3,5,5.0,319.0,訓,False,訓
1023,私,sī,,,,,,,,"private, personal; secret",禾,115.2,7,5.0,766.0,,True,
